0.9262400793	janus
0.9238166750	aqua
0.9232708675	rose
0.9223341366	int
0.9216764586	esterel
0.9210298678	maple
0.9200386993	kerberos
0.9199020638	midi
0.9193386435	lustre
0.9190355733	vista
0.9189132683	dv
0.9187977475	php
0.9186992249	oasis
0.9176719652	adam
0.9176628019	eng
0.9176617527	wu
0.9173548771	pearl
0.9170114265	austin
0.9161260738	tor
0.9155630683	sprint
0.9153297350	coral
0.9153130682	opal
0.9152518982	cole
0.9152472543	kim
0.9149134339	snort
0.9148567909	mathematica
0.9147516549	agora
0.9144771860	dvd
0.9141129645	spark
0.9140911385	han
0.9139508574	fig
0.9139255933	lvcsr
0.9135567413	jr
0.9134899035	shark
0.9134322898	hex
0.9133928011	gen
0.9130969355	taiwanese
0.9130858116	norway
0.9130076660	ore
0.9129373580	nat
0.9127555158	linda
0.9126127083	tim
0.9124051653	trio
0.9123345520	jini
0.9122217970	tamil
0.9122020703	jain
0.9121809511	condor
0.9121806290	giga
0.9121023893	weka
0.9120879860	ki
0.9120557064	uma
0.9117695360	gale
0.9117683038	porto
0.9117589604	ptime
0.9116539527	gaia
0.9116101610	pig
0.9115770014	lapack
0.9115765827	aix
0.9115757192	israel
0.9115620403	tx
0.9115094195	mesa
0.9114159406	golog
0.9113608423	lai
0.9113227043	maya
0.9112884721	nexus
0.9111817154	cook
0.9110586529	basque
0.9110284736	dragon
0.9107972641	pat
0.9107824965	argus
0.9105484873	king
0.9104524451	mib
0.9103608874	va
0.9103185466	ho
0.9103013508	gr
0.9102576660	approx
0.9102530883	mace
0.9102048182	angel
0.9101858116	weber
0.9101425052	bob
0.9101273848	oopsla
0.9100289536	cao
0.9100196278	hermes
0.9100096937	oscar
0.9099773032	errata
0.9099206795	xen
0.9099034082	orc
0.9098940682	proteus
0.9098781494	shore
0.9097090999	smv
0.9096139518	malaysian
0.9095981030	rome
0.9095283350	genie
0.9094535358	edinburgh
0.9094395826	optim
0.9094306290	rabbit
0.9094004649	freebsd
0.9093482586	prism
0.9093228187	dart
0.9093105733	genesis
0.9092757581	sydney
0.9092719970	sig
0.9092611144	wilson
0.9090251466	dspace
0.9088549702	simula
0.9088482535	daisy
0.9087993105	dial
0.9087765827	aster
0.9087734932	euro
0.9087636624	octopus
0.9087613002	thomas
0.9087480265	singer
0.9086964705	neo
0.9086920581	scrum
0.9086259886	ascii
0.9085843690	cplex
0.9085512993	prof
0.9085287286	chorus
0.9085187637	dear
0.9084720412	espresso
0.9084067299	firefox
0.9083608874	iq
0.9083400120	alu
0.9083115409	sphinx
0.9082173904	svg
0.9081593472	flex
0.9080197549	pert
0.9080078538	tao
0.9080078051	jim
0.9080059686	fedora
0.9080055304	pico
0.9079962255	scop
0.9079330473	info
0.9078838885	estelle
0.9078507537	nj
0.9078448257	james
0.9078273933	nomad
0.9078080913	scala
0.9077637162	romanian
0.9077255933	orm
0.9077043366	gnss
0.9076891626	dlv
0.9076725207	guha
0.9075374381	dolphin
0.9075255998	milan
0.9075205255	sen
0.9074908684	unicore
0.9074378766	pittsburgh
0.9074173904	pcf
0.9073521309	phoenix
0.9073520971	amber
0.9072733373	tex
0.9072728505	polsar
0.9072235418	ruby
0.9072150291	lego
0.9071755578	ajax
0.9071212977	cho
0.9071180696	turkey
0.9070662184	yager
0.9070112544	edi
0.9069879645	dream
0.9069792367	prima
0.9069508574	jigsaw
0.9069490974	orchestra
0.9069451503	uct
0.9069084045	rdfs
0.9069072260	cedar
0.9069049401	nexp
0.9068799539	taipei
0.9068595720	abacus
0.9068176582	boss
0.9068150889	tan
0.9067509326	eucalyptus
0.9067500030	victoria
0.9067466460	collins
0.9067310877	tea
0.9066716068	mpsk
0.9066693940	seu
0.9065540483	hebrew
0.9065405136	athens
0.9065096842	isis
0.9064542498	ko
0.9064354037	ariadne
0.9064303829	jacobians
0.9064269236	schnorr
0.9064221752	powerpoint
0.9064167680	amoeba
0.9063950262	hydra
0.9063907224	xcs
0.9063700172	rx
0.9063643353	ito
0.9063555924	lingo
0.9063043366	smos
0.9062953953	wand
0.9062811159	costa
0.9061756265	magma
0.9061611196	legion
0.9061294448	rip
0.9061047178	emi
0.9061020638	orb
0.9060826408	cisco
0.9060701312	ron
0.9060382230	nokia
0.9060181411	bleu
0.9060076660	ward
0.9058816158	hungarian
0.9058664776	slider
0.9058639623	medieval
0.9058127501	paul
0.9056853384	drams
0.9056563216	cai
0.9056532613	sigir
0.9056157060	rex
0.9056061838	artemis
0.9056001121	lisa
0.9055983936	peter
0.9055576660	una
0.9055281175	titan
0.9055043187	symphony
0.9055004913	nova
0.9054136911	formale
0.9054098107	il
0.9054010532	mon
0.9053715660	su
0.9053643353	cobra
0.9053589331	darwin
0.9053582933	heapsort
0.9053300913	lasso
0.9053108272	david
0.9053105733	cosmic
